timestamp,data
2026-02-02T14:34:09.317,accel 8.233659 -0.105345 6.986280 m/s/s
2026-02-02T14:34:09.321,gyro  -0.056356 0.009859 -0.009859 rad/s
2026-02-02T14:34:09.425,[0:13:10.233]:24.7529 Cel
2026-02-02T14:34:09.428,accel 8.176198 -0.095769 7.062894 m/s/s
2026-02-02T14:34:09.432,gyro  -0.055157 0.007594 -0.011990 rad/s
2026-02-02T14:34:09.536,[0:13:10.345]:24.8 Cel
2026-02-02T14:34:09.540,accel 8.209717 -0.057461 7.005434 m/s/s
2026-02-02T14:34:09.544,gyro  -0.055424 0.013589 -0.009859 rad/s
2026-02-02T14:34:09.648,[0:13:10.456]:24.7529 Cel
2026-02-02T14:34:09.652,accel 8.224082 -0.090980 7.005434 m/s/s
2026-02-02T14:34:09.655,gyro  -0.057955 0.007993 -0.006794 rad/s
2026-02-02T14:34:09.759,[0:13:10.568]:24.7059 Cel
2026-02-02T14:34:09.763,accel 8.207323 -0.047885 6.971915 m/s/s
2026-02-02T14:34:09.767,gyro  -0.055024 0.010791 -0.008260 rad/s
2026-02-02T14:34:09.871,[0:13:10.680]:24.8471 Cel
2026-02-02T14:34:09.875,accel 8.250418 -0.059856 6.979097 m/s/s
2026-02-02T14:34:09.879,gyro  -0.053425 0.009326 -0.011058 rad/s
2026-02-02T14:34:09.983,[0:13:10.791]:24.8471 Cel
2026-02-02T14:34:09.987,accel 8.216900 -0.086192 6.971915 m/s/s
2026-02-02T14:34:09.991,gyro  -0.059554 0.007194 -0.008127 rad/s
2026-02-02T14:34:10.094,[0:13:10.903]:24.8 Cel
2026-02-02T14:34:10.098,accel 8.183381 -0.129287 6.974309 m/s/s
2026-02-02T14:34:10.102,gyro  -0.056090 0.014522 -0.009459 rad/s
2026-02-02T14:34:10.206,[0:13:11.015]:24.8471 Cel
2026-02-02T14:34:10.210,accel 8.159439 -0.095769 6.995857 m/s/s
2026-02-02T14:34:10.214,gyro  -0.060486 0.008393 -0.008926 rad/s
2026-02-02T14:34:10.318,[0:13:11.126]:24.8941 Cel
2026-02-02T14:34:10.321,accel 8.212111 -0.086192 7.050923 m/s/s
2026-02-02T14:34:10.325,gyro  -0.058488 0.005062 -0.009059 rad/s
2026-02-02T14:34:10.429,[0:13:11.238]:24.8471 Cel
2026-02-02T14:34:10.433,accel 8.245630 -0.122105 7.122749 m/s/s
2026-02-02T14:34:10.437,gyro  -0.056090 0.008127 -0.008393 rad/s
2026-02-02T14:34:10.541,[0:13:11.350]:24.8 Cel
2026-02-02T14:34:10.545,accel 8.200140 -0.050279 7.015010 m/s/s
2026-02-02T14:34:10.549,gyro  -0.058088 0.012523 -0.011724 rad/s
2026-02-02T14:34:10.653,[0:13:11.461]:24.7529 Cel
2026-02-02T14:34:10.656,accel 8.202534 -0.093374 7.077260 m/s/s
